z_nm,rho_mg_per_mL,sd_mg_per_mL
2.506654705160477614e-01,8.038498967537734075e+00,2.150683015150149657e+01
7.519964115481432287e-01,8.359376560540374257e+00,2.233507201620199112e+01
1.253327352580238863e+00,8.452530045553769966e+00,2.277234990043788798e+01
1.754658293612334274e+00,8.432240895697429295e+00,2.249159268482128127e+01
2.255989234644429686e+00,8.312741585114979515e+00,2.208863891993479101e+01
2.757320175676525320e+00,8.028360561487801306e+00,2.159735798967868092e+01
3.258651116708620954e+00,7.791488168555342320e+00,2.163573966711253149e+01
3.759982057740716144e+00,7.626961989603222136e+00,2.167504256347163150e+01
4.261312998772812222e+00,7.435995352551968196e+00,2.052133672570460377e+01
4.762643939804907411e+00,7.252259028373328142e+00,1.990821583973661646e+01
5.263974880837002601e+00,7.418864022399460190e+00,1.958537253501051012e+01
5.765305821869098679e+00,7.356467336982362326e+00,1.936800630092863429e+01
6.266636762901193869e+00,7.632587683581609994e+00,1.967279390783838977e+01
6.767967703933289059e+00,8.217425181577560522e+00,2.035125076811558031e+01
7.269298644965385137e+00,9.111261403119522484e+00,2.201798651395332485e+01
7.770629585997481215e+00,1.031661835358109691e+01,2.329371707724801155e+01
8.271960527029577293e+00,1.153022021974819289e+01,2.362036156242461971e+01
8.773291468061671594e+00,1.389713069265664913e+01,2.576990419389252196e+01
9.274622409093765896e+00,1.694674704482295269e+01,2.725403464600061909e+01
9.775953350125863750e+00,2.062930380504982608e+01,2.901663724970284974e+01
1.027728429115795805e+01,2.638014268342996260e+01,3.212361704494281867e+01
1.077861523219005235e+01,3.487204929245758933e+01,3.699865948968241014e+01
1.127994617322215021e+01,4.679388941084607723e+01,4.344754154635704424e+01
1.178127711425424451e+01,6.253741555196873492e+01,5.046915233080784446e+01
1.228260805528633881e+01,8.328100031337311293e+01,5.842378938659520315e+01
1.278393899631843666e+01,1.087502727260579150e+02,6.608081059899282650e+01
1.328526993735053097e+01,1.393174755638525255e+02,7.133123568610342602e+01
1.378660087838262704e+01,1.751148018800837178e+02,7.544459303825023255e+01
1.428793181941472312e+01,2.135997710513539971e+02,7.653870218845047191e+01
1.478926276044681742e+01,2.530943674514805082e+02,7.722818618297048943e+01
1.529059370147891350e+01,2.912561741547637553e+02,7.508164815713855944e+01
1.579192464251100958e+01,3.262068854298001952e+02,7.315503416221181965e+01
1.629325558354310388e+01,3.553498856137385928e+02,7.252684291126008986e+01
1.679458652457520174e+01,3.788378879681643525e+02,7.110571641546484045e+01
1.729591746560729604e+01,3.966909284282472754e+02,7.023461760031923973e+01
1.779724840663939034e+01,4.108617947923398788e+02,7.057457484894166555e+01
1.829857934767148464e+01,4.202854756427356051e+02,7.155618878890946633e+01
1.879991028870358249e+01,4.276520364918366113e+02,7.338697923044115612e+01
1.930124122973567680e+01,4.303398945147661721e+02,7.335127912314781895e+01
1.980257217076777465e+01,4.319480256000658756e+02,7.429701103528644524e+01
2.030390311179986895e+01,4.329044156680789115e+02,7.500512675740927193e+01
2.080523405283196325e+01,4.320210118916847932e+02,7.483974285780762159e+01
2.130656499386405756e+01,4.302103614429784102e+02,7.482679812720576251e+01
2.180789593489615541e+01,4.292346054251890450e+02,7.546969216212038134e+01
2.230922687592824971e+01,4.278495785717331046e+02,7.514487020118579608e+01
2.281055781696034757e+01,4.267575743390889897e+02,7.582333868824144929e+01
2.331188875799244187e+01,4.262960576264063093e+02,7.447461488589624423e+01
2.381321969902453617e+01,4.275547470161959609e+02,7.443364842516830038e+01
2.431455064005663047e+01,4.273459749294810877e+02,7.372851068430125565e+01
2.481588158108872832e+01,4.286568430814742783e+02,7.223580366601480307e+01
2.531721252212082618e+01,4.294862946885108954e+02,7.208839932588502109e+01
2.581854346315292048e+01,4.311438521181939905e+02,7.206271065581225344e+01
2.631987440418501478e+01,4.323836263061929230e+02,7.103560522749737061e+01
2.682120534521710908e+01,4.340652881592878316e+02,7.072101242561672052e+01
2.732253628624920694e+01,4.350065257182614005e+02,7.083019897116932384e+01
2.782386722728130124e+01,4.349443075750356797e+02,7.044761379594078221e+01
2.832519816831339909e+01,4.344836398421091985e+02,7.028176756993596541e+01
2.882652910934549340e+01,4.347930743274637280e+02,7.010287872546457777e+01
2.932786005037758770e+01,4.341860508948915367e+02,7.116853826129722904e+01
2.982919099140968200e+01,4.333068270341217385e+02,7.165738632995358159e+01
3.033052193244177985e+01,4.314019110228332465e+02,7.310195319775392875e+01
3.083185287347387415e+01,4.291693468970328809e+02,7.458603605468010755e+01
3.133318381450597201e+01,4.258570236004117078e+02,7.580753652406026788e+01
3.183451475553806631e+01,4.197495065124709299e+02,7.771372891078623013e+01
3.233584569657016061e+01,4.141860212463594735e+02,7.764370912200025998e+01
3.283717663760225491e+01,4.037801078957650134e+02,7.671391793901965173e+01
3.333850757863434922e+01,3.894420412893418870e+02,7.933795457458198541e+01
3.383983851966645062e+01,3.691714389567234775e+02,7.945840813363444965e+01
3.434116946069854492e+01,3.448235443264507012e+02,8.103158857427426653e+01
3.484250040173063923e+01,3.130584170352449860e+02,8.135375661038497697e+01
3.534383134276273353e+01,2.787397676683294208e+02,8.248346966812670189e+01
3.584516228379482783e+01,2.431882863945813256e+02,8.235954467729081330e+01
3.634649322482692924e+01,2.053673276549530726e+02,8.002905300568876612e+01
3.684782416585902354e+01,1.688477263365548993e+02,7.745224628125959043e+01
3.734915510689111784e+01,1.366568998732653313e+02,7.296703901548049487e+01
3.785048604792321214e+01,1.082340518868272454e+02,6.799510945560194841e+01
3.835181698895530644e+01,8.549434156861545375e+01,6.222879413816944094e+01
3.885314792998740074e+01,6.752445667644026628e+01,5.500802827387825289e+01
3.935447887101949505e+01,5.233813966243084081e+01,4.891199738588026946e+01
3.985580981205159645e+01,4.103031435042261421e+01,4.436053577151177052e+01
4.035714075308369075e+01,3.312432967004964013e+01,4.069563990402916431e+01
4.085847169411578506e+01,2.738883372849227626e+01,3.748403801371937760e+01
4.135980263514787936e+01,2.321201584987630540e+01,3.600505755026805588e+01
4.186113357617997366e+01,2.019132333302373539e+01,3.492792647612146339e+01
4.236246451721207507e+01,1.836435326226915521e+01,3.550909237497533155e+01
4.286379545824416937e+01,1.673976218871721855e+01,3.534966607203492828e+01
4.336512639927626367e+01,1.540406833902543049e+01,3.440462358274530175e+01
4.386645734030835797e+01,1.466609344484061239e+01,3.478996181511852370e+01
4.436778828134045227e+01,1.409801830702313374e+01,3.499025853841256861e+01
4.486911922237254657e+01,1.346546114456063670e+01,3.370952493010015871e+01
4.537045016340464088e+01,1.257443877123940723e+01,3.232869418196137445e+01
4.587178110443674228e+01,1.179884676808901034e+01,2.981910600868585703e+01
4.637311204546883658e+01,1.085668252087339525e+01,2.753575286359088992e+01
4.687444298650093089e+01,1.036702396701273265e+01,2.658898884064953805e+01
4.737577392753302519e+01,9.278779068147496645e+00,2.391907822719522869e+01
4.787710486856511949e+01,8.600911268916203056e+00,2.285822799441049824e+01
4.837843580959722090e+01,8.400472400069510570e+00,2.268893520506993156e+01
4.887976675062931520e+01,8.092850660580863220e+00,2.251824322225910535e+01
4.938109769166140950e+01,8.099041695107601413e+00,2.279190075229112367e+01
4.988242863269350380e+01,8.142913917418969305e+00,2.273738738577747753e+01
5.038375957372559810e+01,7.983064071151878771e+00,2.215666569979361711e+01
